_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
7632980,20071,BP-35022,1294,Bloor St W,Bloor St W,North,St Clarens Ave,West,,9.0,Bloordale Village,Ring,Existing,0,309468.99,4835401.688,-79.442112795,43.65854474,"{u'type': u'Point', u'coordinates': (-79.4421127902, 43.658544739)}"
7632981,20072,BP-32883,1431,Bathurst St,Melgund Rd,North,Bathurst St,East,,12.0,,Ring,Existing,0,311441.94899999996,4838010.984,-79.41761949100001,43.68201684100001,"{u'type': u'Point', u'coordinates': (-79.4176194944, 43.6820168448)}"
7632982,20073,BP-32891,270X,Heath St W,Tichester Rd,North,Lonsmount Dr,East,,12.0,,Ring,Existing,0,311560.745,4838458.592,-79.416140449,43.686044825,"{u'type': u'Point', u'coordinates': (-79.4161404496, 43.6860448266)}"
7632983,20074,BP-32901,1627,Bayview Ave,Bayview Ave,East,Manor Rd E,South,,15.0,Bayview Leaside,Ring,Existing,0,314841.61199999996,4840749.6219999995,-79.375402322,43.706629895,"{u'type': u'Point', u'coordinates': (-79.3754023168, 43.7066299012)}"
7632984,20075,BP-32904,1522-1526,Bayview Ave,Bayview Ave,West,Millwood Rd,South,,15.0,Bayview Leaside,Ring,Existing,0,314906.441,4840454.445,-79.37460344600001,43.703972058999994,"{u'type': u'Point', u'coordinates': (-79.3746034503, 43.7039720587)}"
7632985,20076,BP-32905,150,Eglinton Ave E,Eglinton Ave E,North,Lillian St,East,,12.0,,Ring,Existing,0,313338.857,4840866.906,-79.394046809,43.707704404,"{u'type': u'Point', u'coordinates': (-79.3940468109, 43.7077044089)}"
7632986,20077,BP-32911,1820,Bayview Ave,Bayview Ave,West,Glazebrook Ave,South,,15.0,,Ring,Existing,0,314667.94899999996,4841451.682,-79.37754427899999,43.712951642,"{u'type': u'Point', u'coordinates': (-79.3775442807, 43.712951645)}"
7632987,20078,BP-32928,120,Eglinton Ave E,Eglinton Ave E,North,Dunfield Ave,East,,12.0,,Ring,Existing,0,313247.84,4840841.258,-79.395176582,43.707474581999996,"{u'type': u'Point', u'coordinates': (-79.3951765828, 43.7074745859)}"
7632988,20079,BP-32929,1818,Bayview Ave,Bayview Ave,West,Craig Cres,North,,15.0,,Ring,Existing,0,314674.31,4841396.748,-79.37746635100001,43.712457087,"{u'type': u'Point', u'coordinates': (-79.3774663519, 43.7124570862)}"
7632989,20080,BP-32932,1594,Bayview Ave,Bayview Ave,West,Manor Rd E,South,,15.0,Bayview Leaside,Ring,Existing,0,314842.438,4840683.2069999995,-79.37539331100001,43.706032072,"{u'type': u'Point', u'coordinates': (-79.3753933061, 43.7060320719)}"
7632990,20081,BP-25610,1053,Dundas St W,Dundas St W,South,Crawford St,West,,10.0,,Ring,Existing,0,311448.072,4834442.2469999995,-79.417587505,43.649893418000005,"{u'type': u'Point', u'coordinates': (-79.4175875095, 43.64989342)}"
7632991,20082,BP-25626,1000,Queen St W,Ossington Ave,East,Queen St W,North,,10.0,Ossington Avenue,Ring,Existing,0,311345.172,4833839.005,-79.418870412,43.64446433,"{u'type': u'Point', u'coordinates': (-79.4188704115, 43.6444643357)}"
7632992,20083,BP-25649,1212,Dundas St W,Lakeview Ave,West,Ln 1 N Dundas W Lakeview,South,,9.0,Little Portugal,Ring,Existing,0,311017.615,4834421.782,-79.422923875,43.649712928999996,"{u'type': u'Point', u'coordinates': (-79.4229238788, 43.6497129297)}"
7632993,20084,BP-25654,194,Ossington Ave,Ossington Ave,West,Rolyat St,South,,10.0,Ossington Avenue,Ring,Existing,0,311206.886,4834299.545,-79.420579044,43.648611024,"{u'type': u'Point', u'coordinates': (-79.4205790493, 43.6486110251)}"
7632994,20085,BP-25661,149,Ossington Ave,Ossington Ave,East,Foxley St,East,,10.0,Ossington Avenue,Ring,Existing,0,311248.63899999997,4834207.444,-79.420062569,43.64778163,"{u'type': u'Point', u'coordinates': (-79.4200625713, 43.6477816304)}"
7632995,20086,BP-25682,1,Gore Vale Ave,Queen St W,North,Walnut Ave,East,,10.0,West Queen West,Ring,Existing,0,311968.88899999997,4833990.392,-79.41113722600001,43.645821272,"{u'type': u'Point', u'coordinates': (-79.4111372315, 43.6458212762)}"
7632996,20087,BP-25690,1033,Queen St W,Queen St W,South,Gordon Bell Rd,East,,10.0,West Queen West,Rack,Existing,0,311270.24600000004,4833779.373,-79.41979986,43.643928216999996,"{u'type': u'Point', u'coordinates': (-79.4197998574, 43.6439282218)}"
