id,street_address,latitude,longitude
BP-44602,622 Bloor St W,43.664561789,-79.414138068
BP-44603,622 Bloor St W,43.66454868899999,-79.414202897
BP-44600,599 Bloor St W,43.664672003999996,-79.412987147
BP-25888,539 Bloor St W,43.66528652,-79.410164006
BP-27189,243 Davenport Rd,43.674485923999995,-79.397253964
BP-32460,487 Spadina Cres,43.659931943000004,-79.399873935
BP-25859,371 Bloor St W,43.666928025,-79.402178499
BP-23721,30 Charles St W,43.668726671,-79.386393809
BP-35101,22 Yorkville Ave,43.671733541,-79.388607355
BP-36306,80 Charles St E,43.669619979,-79.381691119
BP-23752,140 Charles St W,43.667561924,-79.392302738
BP-33060,742 Spadina Ave,43.66616131600001,-79.403625713
BP-44610,100 Cumberland St,43.670467707,-79.391038895
BP-44601,620 Bloor St W,43.664587681,-79.414032299
BP-44612,75 Yorkville Ave,43.671028783999994,-79.391164354
BP-44606,267 Howland Ave,43.673647112,-79.411564283
BP-44605,267 Howland Ave,43.673641658,-79.411594579
BP-44670,55 Avenue Rd,43.671240862,-79.395050425
BP-44669,51 Avenue Rd,43.670988412,-79.394949504
BP-44788,555 University Ave,43.657699555,-79.388441856
BP-44781,555 University Ave,43.656917998000004,-79.386479866
BP-44780,555 University Ave,43.656861018,-79.386749125
BP-44796,555 University Ave,43.656799605,-79.388904155
BP-44794,555 University Ave,43.657587047,-79.388980839
BP-45030,799 College St,43.654611939,-79.421290534
BP-44792,555 University Ave,43.657575066999996,-79.38904495199999
BP-44790,555 University Ave,43.65766232,-79.388669718
BP-45032,185 Davenport Rd,43.675023183,-79.393720515
BP-44787,555 University Ave,43.657690007,-79.388494964
BP-45033,185 Davenport Rd,43.675054981,-79.393768146
BP-45034,185 Davenport Rd,43.67506251,-79.393807315
BP-44789,555 University Ave,43.65765459399999,-79.38871457399999
BP-44779,555 University Ave,43.656887008999995,-79.386631448
BP-44791,555 University Ave,43.657670044,-79.388624864
BP-44782,555 University Ave,43.656908988000005,-79.386520661
BP-45035,185 Davenport Rd,43.67507321,-79.393854671
BP-45036,185 Davenport Rd,43.675080937,-79.393904212
BP-45038,185 Davenport Rd,43.674898537,-79.393441718
BP-45039,185 Davenport Rd,43.674919697,-79.393476657
BP-45040,185 Davenport Rd,43.674974578000004,-79.39358884100001
BP-45041,185 Davenport Rd,43.674999066000005,-79.393640266
BP-45061,594 Bay St,43.655747783,-79.383968587
BP-45062,789 Yonge St,43.671636,-79.387245128
BP-45063,789 Yonge St,43.67165335600001,-79.387254462
BP-45064,789 Yonge St,43.67169089,-79.387267111
BP-45065,789 Yonge St,43.671724445,-79.387284265
BP-27777,468 College St,43.65637904,-79.40863706100001
BP-28724,112 College St,43.660263048999994,-79.38917685199999
BP-30182,807 College St,43.654498796000006,-79.421858703
BP-35077,773 Yonge St,43.671483607,-79.387179234
BP-26642,83 Albany Ave,43.668379007,-79.411093569
BP-35512,155 College St,43.659296841999996,-79.392655057
BP-25694,210 Bellwoods Ave,43.652244806000006,-79.413399045
BP-30331,28 St Andrew St,43.654159931,-79.400006808
BP-24500,687 Bloor St W,43.66383934,-79.41681998899999
BP-34386,246 Bloor St W,43.668379148,-79.397643844
BP-24467,682A Bloor St W,43.663958324,-79.416885319
BP-25402,824 Dundas St W,43.651729705,-79.40913405100001
BP-26423,650 Dupont St,43.671771568000004,-79.421099347
BP-32646,10 Bellair St,43.669632843,-79.390723942
BP-35506,129 College St,43.659578477,-79.39133192
BP-22440,23 College St,43.661138146000006,-79.383842354
BP-30298,856 Bloor St W,43.662310273,-79.424424731
BP-27728,534 College St,43.655888863,-79.411035118
BP-43910,731 College St,43.654728168000005,-79.418959106
BP-32566,160 Bloor St E,43.671560038,-79.38324690600001
BP-25799,469 Bloor St W,43.665994271,-79.406767652
BP-34137,483 Bloor St W,43.665676174,-79.40741801600001
BP-26470,55 Belmont St,43.675014919,-79.391382628
BP-24175,754 Bay St,43.659840763999995,-79.385548661
BP-27697,184-200 College St,43.658954373,-79.39503408600001
BP-24209,754 Bay St,43.659808723999994,-79.385531965
BP-25344,12 Roxton Rd,43.6495721,-79.41981449
BP-25127,376 Bloor St W,43.666265816999996,-79.406092543
BP-24516,728 Bloor St W,43.663683276,-79.418153691
BP-28861,731 College St,43.654695365,-79.418947441
BP-34313,140 St George St,43.665320766,-79.399229668
BP-22613,72 Elm St,43.657233496,-79.384979707
BP-28961,731 College St,43.654737909,-79.418992551
BP-28976,396 College St,43.656958947,-79.40573994
BP-24952,135 St George St,43.667786158,-79.398926617
BP-29909,64 Nassau St,43.655644378000005,-79.40240044800001
BP-25918,371 Bloor St W,43.666946102,-79.402111811
BP-27563,222 College St,43.658594512,-79.397252889
BP-27658,214-220 College St,43.658705951,-79.396634874
BP-21772,57 Grenville St,43.661280855,-79.386132317
BP-21783,57 Grenville St,43.661561522,-79.38632452
BP-45127,832 Bay St,43.662171609,-79.386368584
